Address,Name Tag,Balance,Txn Count
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi 4,82.98358305 Ether,"306,112"
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,92.44689901 Ether,"130,883"
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,"850,860.64196888 Ether",140
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,82.64847963 Ether,"269,404"
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi 8,8.90224325 Ether,"140,626"
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi 9,76.87548935 Ether,"367,550"
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken 1,"25,611.10709943 Ether","54,764"
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2,"131,283.02866199 Ether","12,216"
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,"801,052.79995972 Ether",151
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,"109,298.98134189 Ether","1,193,695"
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken 5,0 Ether,"1,605,537"
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,0.02947003 Ether,"18,981"
0x629a7144235259336ea2694167f3c8b856edd7dc,Kryptono 2,0.00848255 Ether,95
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono 3,0.01 Ether,"11,605"
0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin 1,"11,846.03690227 Ether","2,153,950"
0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin 2,"9,556.35705156 Ether","734,428"
0x0861fca546225fbf8806986d211c8398f7457734,LAToken 1,0.00208564 Ether,"34,115"
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken 2,"9,002.77199404 Ether","3,232"
0x1b6c1a0e20af81b922cb454c3e52408496ee7201,LAToken 3,72.34476111 Ether,"18,296"
0x8271b2e8cbe29396e9563229030c89679b9470db,Liqui.io 1,12.81156653 Ether,"390,049"
0x5e575279bf9f4acf0a130c186861454247394c06,Liqui.io 2,1.00773989 Ether,"441,400"
0xedbb72e6b3cf66a792bff7faac5ea769fe810517,Liquid,"1,177.10980665 Ether","50,081"
0x243bec9256c9a3469da22103891465b47583d9f1,Livecoin.net,227.78779612 Ether,"215,508"
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,206.02005732 Ether,"394,112"
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,MXC 1,"2,126.16296273 Ether","395,360"
0x0211f3cedbef3143223d3acf0e589747933e8527,MXC 2,"33,896.83895549 Ether","21,576"
0xae7006588d03bd15d6954e3084a7e644596bc251,NEXBIT Pro,0 Ether,"4,542"
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,Okex 1,"1,802.15470438 Ether","1,770,688"
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,Okex 2,0.58464967 Ether,"868,649"
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,OTCBTC,"3,699.09495866 Ether","261,792"
0xbd8ef191caa1571e8ad4619ae894e07a75de0c35,Paribu 1,"7,130.27364214 Ether","6,549"
0x2bb97b6cf6ffe53576032c11711d59bd056830ee,Paribu 2,"14,053.58770319 Ether","90,389"
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,"2,825.85116962 Ether","82,660"
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex 1,1.62610664 Ether,"2,506,797"
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex 2,0 Ether,"1,814,558"
0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex 3,0.25555604 Ether,479
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4,"105,375.706536 Ether","152,856"
0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Poloniex: BAT,16.09802966 Ether,"5,076"
