address,name_tag,ether_balance,txn_count,etherscan_address_dataset_reported,token_name,usd_market_cap,n_holders,is_token,etherscan_token_dataset_reported,cryptoscamdb_reported
0xADd375ffb70902BacFAFC7F4Fb92f05650Caf537,Fake_Phishing4459,0.0,7.0,True,,,,,False,False
0x27f97BC09A4e28D5935a08e2810b3E3C94f04220,Fake_Phishing4473,5.0,762.0,True,,,,,False,False
0x49Dd6D0B21C1156E90b9934A9F2C5F427adD5fb6,Fake_Phishing4479,0.0,3.0,True,,,,,False,False
0x9AeEB96044d3eB81F1faC7f81e2A5CF89cf31ee6,Fake_Phishing4496,0.0,10.0,True,PolkaSwap (PSWAP),0.0,14.0,True,True,False
0x1de23F02E185fDc4f6BACc98D6c6419370E38538,Fake_Phishing45,0.0,31.0,True,,,,,False,True
0x6618Dd109eE9DC93026ab36ab6AB7b4FbdE0411B,Fake_Phishing4502,0.0,4.0,True,,,,,False,False
0xFF7c3b7F4e4260097a33C9dcc291B9D1BAf2EDB5,Fake_Phishing4526,0.0,53.0,True,,,,,False,False
0x9C51699b4CD43Ba4F6bc81D70b21291B63e6D130,Fake_Phishing4544,0.0,1973.0,True,YFDiamond.finance (YFD),0.0,3358.0,True,True,False
0x6574C0bF7F3D144F5837acC160773eC8f2a5CDE9,Fake_Phishing4545,0.0,1.0,True,,,,,False,False
0x8bECE7F1daC4834af77c6bb78B008A04cf861d53,Fake_Phishing4554,0.0,19.0,True,,,,,False,False
0x74148005E17094CD696B520c8f00a5B429CACc8C,Fake_Phishing4555,0.0,2.0,True,,,,,False,False
0xaA74C85158Be3Cef42140a2d59C063862463C703,Fake_Phishing4594,0.0,3.0,True,,,,,False,False
0xe45F73DaD6af24273B361f02c3749f13c2231080,Fake_Phishing4596,0.0,23.0,True,PowerIndex (PIPT),0.0,99.0,True,True,False
0x6123E31bF9384Ac5946d3affbC830749c4999F58,Fake_Phishing4597,0.0,5.0,True,PowerPool.Finance (CVP),0.0,4.0,True,True,False
0x12b62faD1F5BAC3E3653d05422C4816b91a438aD,Fake_Phishing4600,0.0,5.0,True,,,,,False,False
0x4E344fA2aC01F1Fb53B388FAd51427de170241A4,Fake_Phishing4609,0.0,6.0,True,,,,,False,False
0x5F5729010C873232f0Ef6a68dCa7455cc11dE0e2,Fake_Phishing4618,0.0,179.0,True,,,,,False,False
0xd2d64D3758928A09448D6A865B8bd5F325777876,Fake_Phishing4619,0.0,8.0,True,Yearn Ecosystem Token Index (YETI),0.0,7.0,True,True,False
0x263855ebFe85a1532fFD3EF21deE111378bE8514,Fake_Phishing4620,0.0,4.0,True,Yearn Ecosystem Token Index (YeTI),0.0,12.0,True,True,False
0xfe75aEE72700Ff0e0742C00D12acF2724827fa00,Fake_Phishing4621,0.0,9.0,True,Yearn Ecosystem Token Index (YETI),0.0,11.0,True,True,False
0x2E43EBAFE93B726E5B87916D00Ea3827da897257,Fake_Phishing4627,0.0,9.0,True,Ether.Insure (EIN),0.0,2.0,True,True,False
0xA358cF2d2CB8a447b45846a4456d6E7c08D2eE7c,Fake_Phishing4629,0.0,2.0,True,,,,,False,False
0x197e45d545F4DA0C3f15002222BcADDd9D3D7D37,Fake_Phishing4639,0.0,2.0,True,,,,,False,False
0xa2065164a26eCD3775dcF22510Ad1d2DaEf8Bd2a,Fake_Phishing4684,0.0,1492.0,True,,,,,False,False
0x113acf282eEB4D71Bec61aD83e934bf75bf8253F,Fake_Phishing4685,0.0,251.0,True,,,,,False,False
0xa5978a61a90AE7217C60c7b275343CE244a053cc,Fake_Phishing4695,0.0,8.0,True,,,,,False,False
0x8f9A8Dc65A423C7Dec9261aA6010DB738407C879,Fake_Phishing4699,0.0,2082.0,True,,,,,False,False
